"id","prefecture_code","order","name","created_at","updated_at"
"1","01","0","北海道",NULL,NULL
"2","02","0","青森県",NULL,NULL
"3","03","0","岩手県",NULL,NULL
"4","04","0","宮城県",NULL,NULL
"5","05","0","秋田県",NULL,NULL
"6","06","0","山形県",NULL,NULL
"7","07","0","福島県",NULL,NULL
"8","08","0","茨城県",NULL,NULL
"9","09","0","栃木県",NULL,NULL
"10","10","0","群馬県",NULL,NULL
"11","11","0","埼玉県",NULL,NULL
"12","12","0","千葉県",NULL,NULL
"13","13","0","東京都",NULL,NULL
"14","14","0","神奈川県",NULL,NULL
"15","15","0","新潟県",NULL,NULL
"16","16","0","富山県",NULL,NULL
"17","17","0","石川県",NULL,NULL
"18","18","0","福井県",NULL,NULL
"19","19","0","山梨県",NULL,NULL
"20","20","0","長野県",NULL,NULL
"21","21","0","岐阜県",NULL,NULL
"22","22","0","静岡県",NULL,NULL
"23","23","0","愛知県",NULL,NULL
"24","24","0","三重県",NULL,NULL
"25","25","0","滋賀県",NULL,NULL
"26","26","0","京都府",NULL,NULL
"27","27","0","大阪府",NULL,NULL
"28","28","0","兵庫県",NULL,NULL
"29","29","0","奈良県",NULL,NULL
"30","30","0","和歌山県",NULL,NULL
"31","31","0","鳥取県",NULL,NULL
"32","32","0","島根県",NULL,NULL
"33","33","0","岡山県",NULL,NULL
"34","34","0","広島県",NULL,NULL
"35","35","0","山口県",NULL,NULL
"36","36","0","徳島県",NULL,NULL
"37","37","0","香川県",NULL,NULL
"38","38","0","愛媛県",NULL,NULL
"39","39","0","高知県",NULL,NULL
"40","40","0","福岡県",NULL,NULL
"41","41","0","佐賀県",NULL,NULL
"42","42","0","長崎県",NULL,NULL
"43","43","0","熊本県",NULL,NULL
"44","44","0","大分県",NULL,NULL
"45","45","0","宮崎県",NULL,NULL
"46","46","0","鹿児島県",NULL,NULL
"47","47","0","沖縄県",NULL,NULL
